trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9991004067103799}",25,0,-51.49441877496123,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.999057065774765}",20,0,-104.06704550539797,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9990127057011241}",25,0,-129.68834689664683,"{0: 18, 1: 1, 2: 1, 3: 3, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.9989673265347087}",25,0,-256.9566520773241,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 5}",0
46,False,"{'a': 0.5, 'e': 0.9989209283218101}",25,0,-169.8162847679807,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9988735111097592}",20,0,-99.8446403438813,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9988250749469262}",25,0,-95.5546143047842,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9987756198827208}",30,0,-186.24871626069879,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9987251459675922}",25,0,-127.80341386901462,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9986736532530288}",20,13,-17.44520806028027,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9986211417915584}",20,0,-68.91034692892694,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.9985676116367478}",20,0,-85.08674926203247,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9985130628432031}",20,0,-134.31175707955575,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9984574954665696}",25,0,-75.98998493479525,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9984009095635317}",20,0,-101.34505490624974,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9983433051918124}",20,0,-109.43849512045111,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.998284682410174}",20,0,-158.28224139222982,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9982250412784177}",25,0,-63.51886077575061,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9981643818573834}",35,0,-113.55842166398598,"{0: 22, 1: 5, 2: 7, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9981027042089498}",35,0,-126.731396490021,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.998040008396034}",20,0,-93.95706474649906,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9979762944825923}",20,0,-118.30937832522203,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.997911562533619}",30,0,-205.82666225762938,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9978458126151475}",20,0,-107.4905537665027,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.997779044794249}",25,0,-141.31652823408953,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9977112591390334}",25,0,-120.03513324543124,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9976424557186488}",20,0,-100.37225093908515,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9975726346032817}",25,3,-75.26116429811744,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.9975017958641567}",20,5,-26.262129319366935,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.997429939573536}",30,0,-139.9967992299619,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.9973570658047206}",25,2,-100.61178348143606,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.9972831746320487}",30,0,-235.3930668564357,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
74,False,"{'a': 0.5, 'e': 0.997208266130897}",30,0,-242.9398865307476,"{0: 15, 1: 6, 2: 3, 3: 2, 4: 4}",0
75,False,"{'a': 0.5, 'e': 0.9971323403776794}",20,4,-98.15336621573267,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.997055397449848}",25,0,-191.12064099337925,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.996977437425892}",20,15,8.37978499392105,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.9968984603853385}",20,0,-53.858298058679,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.996818466408752}",25,0,-159.29279811462126,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9967374555777344}",20,0,-106.29727553625149,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9966554279749248}",25,0,-121.22077401229876,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9965723836839996}",25,0,-123.49381261592679,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
